config,station_id,station_name,region,n_rows,r2,rmse,mae,baseline_full,baseline_sat,stage1_err_full,stage1_err_sat
V3,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.1754,13.11,9.49,13.43,7.61,-5.04,-10.86
V3,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.2026,14.98,9.93,15.66,23.83,-8.56,-0.38
V3,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.1635,15.64,11.94,22.56,14.4,-1.04,-9.2
V3,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.643,17.78,11.69,32.5,35.62,-5.13,-2.0
V3,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.726,15.82,10.93,34.19,32.28,-4.99,-6.9
V3,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.599,23.51,17.79,43.48,37.22,-3.3,-9.55
V3,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.5358,15.99,11.28,41.15,38.87,4.22,1.93
V3,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.1619,11.45,8.58,16.7,24.26,-4.64,2.91
V3,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.2613,11.74,8.51,19.04,24.01,-3.53,1.44
V3,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.7495,18.11,13.07,40.98,35.66,-2.21,-7.53
V3,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.1332,19.25,15.32,22.04,17.07,3.96,-1.01
V3,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,-0.179,14.23,10.41,20.22,18.96,-0.95,-2.21
V3,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.0842,9.46,7.09,13.58,13.13,-1.91,-2.36
V3,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.1886,12.72,9.01,19.36,22.54,-0.5,2.67
V3,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.0354,25.36,15.09,16.72,19.59,-10.69,-7.82
V3,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4377,25.62,18.06,35.42,33.64,-1.76,-3.55
V3,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.1554,8.67,6.58,10.42,14.07,-4.25,-0.6
V3,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.1778,14.66,10.12,12.22,3.95,0.15,-8.12
V3,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-0.972,16.46,11.64,18.49,15.35,12.25,9.11
V3,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.0145,44.42,27.3,33.56,33.16,-21.65,-22.05
V4,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.4167,25.01,20.92,37.69,36.42,10.59,9.33
V4,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,0.0032,18.63,9.46,17.93,17.62,4.74,4.43
V4,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.4616,24.52,17.19,46.61,35.85,-1.93,-12.69
V4,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-2.8445,14.69,10.91,19.22,14.56,12.36,7.7
V4,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.0303,9.29,6.6,17.61,26.07,6.97,15.43
V4,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-1.8894,12.99,10.76,0.37,4.86,-6.25,-1.75
V4,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-1.8354,41.49,29.97,34.36,34.43,6.41,6.48
V4,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,0.0115,45.17,29.52,34.61,32.92,-17.58,-19.27
V4,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.3522,7.47,4.87,0.59,7.7,-8.54,-1.43
V4,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-0.2952,5.65,3.74,11.29,5.84,5.57,0.12
V4,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.1907,19.27,14.26,34.16,31.71,10.72,8.27
V4,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.3778,15.45,10.98,41.77,29.73,16.37,4.32
V4,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-1.0,29.01,18.04,18.71,16.37,3.23,0.89
V4,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.0291,7.4,5.09,8.08,13.09,1.12,6.14
V4,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.1531,9.61,4.8,2.19,8.93,-5.43,1.32
V4,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.0502,12.44,8.9,9.89,19.51,0.4,10.02
V4,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-2.9932,16.61,13.37,23.36,28.05,14.12,18.82
V4,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,0.0346,13.36,8.25,12.75,14.18,1.83,3.26
V4,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-3.5658,19.19,17.26,17.1,24.99,6.18,14.07
V4,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.0613,10.45,6.42,2.41,10.18,-4.3,3.47
V4,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.8815,16.59,12.83,13.43,7.61,-5.04,-10.86
V4,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.3246,13.79,10.34,15.66,23.83,-8.56,-0.38
V4,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.9805,20.4,16.18,22.56,14.4,-1.04,-9.2
V4,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.6658,17.21,11.71,32.5,35.62,-5.13,-2.0
V4,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.7296,15.72,10.6,34.19,32.28,-4.99,-6.9
V4,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.6385,22.33,15.66,43.48,37.22,-3.3,-9.55
V4,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.5848,15.13,10.68,41.15,38.87,4.22,1.93
V4,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.4188,9.53,7.46,16.7,24.26,-4.64,2.91
V4,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.4357,10.26,7.6,19.04,24.01,-3.53,1.44
V4,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.7495,18.11,11.91,40.98,35.66,-2.21,-7.53
V4,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.2583,17.81,12.65,22.04,17.07,3.96,-1.01
V4,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,-0.3218,15.07,11.31,20.22,18.96,-0.95,-2.21
V4,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.1303,9.66,7.25,13.58,13.13,-1.91,-2.36
V4,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.2189,12.48,9.11,19.36,22.54,-0.5,2.67
V4,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,0.0334,24.5,14.83,16.72,19.59,-10.69,-7.82
V4,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4455,25.44,17.42,35.42,33.64,-1.76,-3.55
V4,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,0.2406,7.03,5.11,10.42,14.07,-4.25,-0.6
