config,station_id,station_name,region,n_rows,cluster,r2,rmse,mae,baseline_sat,n_train_stations
C3,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,4,-0.0427,13.89,9.12,14.18,
C3,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,0,-1.1864,13.28,11.0,24.99,
C3,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,0,0.0596,9.84,6.1,10.18,
C3,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,1,-0.4548,14.59,10.53,7.61,
C3,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0,0.3473,13.56,9.88,23.83,
C3,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,2,-0.035,14.75,10.84,14.4,
C3,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,3,0.429,22.49,13.38,35.62,
C3,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,3,0.6075,18.94,11.82,32.28,
C3,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,3,0.7385,18.99,13.0,37.22,
C3,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,3,0.3713,18.61,12.5,38.87,
C3,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0,0.2586,10.77,8.84,24.26,
C3,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0,0.5841,8.81,6.34,24.01,
C3,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,3,0.2807,30.69,19.9,35.66,
C3,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,4,0.1442,19.13,14.45,17.07,
C3,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0,0.3304,10.73,7.2,18.96,
C3,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,1,0.0288,8.95,6.63,13.13,
C3,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,2,0.2787,12.0,8.63,22.54,
C3,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,2,0.0811,23.89,14.32,19.59,
C3,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,3,0.3609,27.31,16.94,33.64,
C3,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,1,0.1755,7.33,5.34,14.07,
C3,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,1,0.061,13.09,7.96,3.95,
C3,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,2,-0.7164,15.36,12.68,15.35,
C3,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,3,0.2289,38.73,23.6,33.16,
